DisplayName,MailNickName,UserPrincipalName
Student01_User01,Student01_User01,Student01_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student01_User02,Student01_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student02_User01,Student02_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student02_User02,Student02_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student03_User01,Student03_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student03_User02,Student03_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student04_User01,Student04_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student04_User02,Student04_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student05_User01,Student05_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student05_User02,Student05_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student06_User01,Student06_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student06_User02,Student06_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student07_User01,Student07_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student07_User02,Student07_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student08_User01,Student08_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student08_User02,Student08_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student09_User01,Student09_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student09_User02,Student09_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student10_User01,Student10_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student10_User02,Student10_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student11_User01,Student11_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student11_User02,Student11_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student12_User01,Student12_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student12_User02,Student12_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student13_User01,Student13_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student13_User02,Student13_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student14_User01,Student14_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student14_User02,Student14_User02@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student15_User01,Student15_User01@MngEnvMCAP316940.onmicrosoft.com
Student01_User01,Student15_User02,Student15_User02@MngEnvMCAP316940.onmicrosoft.com
